"History for account SchwabOne XXXX-1865 as of 10/05/2008 02:09:02 EDT for 01/01/2007 to 12/31/2007"
"Date","Action","Quantity","Symbol","Description","Price","Amount","Fees & Comm"
"07/27/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-10.0000",""
"07/24/2007","Sell","1,348.2900","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,348.2900",""
"07/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-10.0000",""
"07/23/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,338.2900",""
"07/17/2007","","213.6100","SWMXX","SCHWAB MONEY MARKET FUND type: ORD DIV","","",""
"07/17/2007","Sell","38.5000","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$38.5000",""
"07/16/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-8.0000",""
"07/16/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-8.5000",""
"07/16/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-22.0000",""
"07/16/2007","Sell","655.4400","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$655.4400",""
"07/13/2007","",""," ","AMEX       51311865 type: SCHWAB CHECK","","$-655.4400",""
"07/13/2007","Sell","20,060.8300","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$20,060.8300",""
"07/12/2007","",""," ","WIRED FUNDS DISBURSED type: WIRED FUNDS OUT","","$-20,000.0000",""
"07/12/2007","",""," ","WIRED FUNDS FEE type: SERVICE FEE","","$-25.0000",""
"07/12/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-35.8300",""
"07/11/2007","Sell","1,075.7700","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$1,075.7700",""
"07/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-13.2700",""
"07/10/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-1,062.5000",""
"07/10/2007","Sell","248.5600","SWMXX","SCHWAB MONEY MARKET FUND","$1.0000","$248.5600",""
"07/09/2007","",""," ","FOR INV CKG OVERDRAFT   9999-99999999 type: IC OVERDRAFT TRF","","$-9.6400",""
